Date,Hour,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL,Total Output
1/1/2019,1,11215,232,3320,1302,0,10,16079
1/1/2019,2,11221,233,3274,1146,0,10,15884
1/1/2019,3,11205,233,3222,992,0,10,15662
1/1/2019,4,11205,234,3205,876,0,10,15530
1/1/2019,5,11214,233,3218,883,0,10,15558
1/1/2019,6,11208,234,3220,975,0,10,15647
1/1/2019,7,11209,237,3651,639,0,10,15746
1/1/2019,8,11214,238,3774,857,0,10,16093
1/1/2019,9,11209,296,3765,699,2,10,15981
1/1/2019,10,11207,317,3780,932,20,11,16267
1/1/2019,11,11218,381,3536,1449,34,11,16629
1/1/2019,12,11219,423,3466,1107,76,13,16304
1/1/2019,13,11215,564,3552,876,116,13,16336
1/1/2019,14,11219,703,3669,670,142,10,16413
1/1/2019,15,11225,710,3744,894,90,10,16673
1/1/2019,16,11222,740,4218,574,41,10,16805
1/1/2019,17,11228,790,4832,970,4,10,17834
1/1/2019,18,11232,1041,5800,745,0,10,18828
1/1/2019,19,11232,1127,5943,503,0,10,18815
1/1/2019,20,11231,1146,6012,345,0,10,18744
1/1/2019,21,11224,1186,5785,316,0,10,18521
1/1/2019,22,11229,721,5294,407,0,10,17661
1/1/2019,23,11234,616,4322,352,0,10,16534
1/1/2019,24,11228,408,4262,216,0,10,16124
1/2/2019,1,11235,250,4217,132,0,10,15844
1/2/2019,2,11244,237,3994,195,0,10,15680
1/2/2019,3,11236,247,4035,192,0,6,15716
1/2/2019,4,11242,325,3762,182,0,4,15515
1/2/2019,5,11243,521,3489,191,0,4,15448
1/2/2019,6,11245,855,3288,183,0,5,15576
1/2/2019,7,11243,1119,3501,275,0,10,16148
1/2/2019,8,11242,1238,4237,428,0,23,17168
1/2/2019,9,11242,1296,4948,513,19,27,18045
1/2/2019,10,11241,1422,5016,546,67,28,18320
1/2/2019,11,11240,1438,5203,622,123,27,18653
1/2/2019,12,11235,1442,5058,667,125,27,18554
1/2/2019,13,11232,1476,5091,788,125,28,18740
1/2/2019,14,11228,1517,4716,795,77,27,18360
1/2/2019,15,11224,1312,4804,960,41,29,18370
1/2/2019,16,11221,1470,4980,984,18,51,18724
1/2/2019,17,11223,1512,5093,1104,1,91,19024
1/2/2019,18,11220,1551,5682,1288,0,159,19900
1/2/2019,19,11227,1566,5637,1405,0,126,19961
1/2/2019,20,11219,1397,5822,1267,0,99,19804
1/2/2019,21,11207,1082,5562,1400,0,180,19431
1/2/2019,22,11219,993,5272,1490,0,188,19162
1/2/2019,23,11214,408,4510,2376,0,111,18619
1/2/2019,24,11222,260,3240,2809,0,29,17560
1/3/2019,1,11218,263,2969,2770,0,12,17232
1/3/2019,2,11215,264,3003,2673,0,9,17164
1/3/2019,3,11206,263,2921,2719,0,10,17119
1/3/2019,4,11202,264,2964,2370,0,10,16810
1/3/2019,5,11205,264,3009,2324,0,11,16813
1/3/2019,6,11198,267,3015,2085,0,14,16579
1/3/2019,7,11209,311,3456,2091,0,21,17088
1/3/2019,8,11203,446,4199,2237,0,26,18111
1/3/2019,9,11216,473,5104,1873,0,27,18693
1/3/2019,10,11228,593,5425,1743,7,27,19023
1/3/2019,11,11229,583,4881,1939,17,27,18676
1/3/2019,12,11240,535,4136,2300,34,28,18273
1/3/2019,13,11236,508,3741,2905,54,27,18471
1/3/2019,14,11225,480,4204,2946,44,28,18927
1/3/2019,15,11218,494,4455,2867,46,27,19107
1/3/2019,16,11232,630,4737,2820,22,27,19468
1/3/2019,17,11232,634,5063,2779,6,27,19741
1/3/2019,18,11235,635,5442,2846,0,33,20191
1/3/2019,19,11237,637,4956,3114,0,29,19973
1/3/2019,20,11239,637,5033,3072,0,27,20008
1/3/2019,21,11224,637,4476,3434,0,27,19798
1/3/2019,22,11230,463,4044,3208,0,27,18972
1/3/2019,23,11234,282,3538,2953,0,27,18034
1/3/2019,24,11218,235,3338,2840,0,16,17647
1/4/2019,1,11211,233,3036,3050,0,10,17540
1/4/2019,2,11219,234,3024,2442,0,10,16929
1/4/2019,3,11224,233,2988,2181,0,10,16636
1/4/2019,4,11227,239,2987,2128,0,10,16591
1/4/2019,5,11212,258,3005,1448,0,10,15933
1/4/2019,6,11210,265,3088,2015,0,14,16592
1/4/2019,7,11211,316,3454,1978,0,20,16979
1/4/2019,8,11211,453,3692,2764,0,28,18148
1/4/2019,9,11215,456,3860,2655,6,27,18219
1/4/2019,10,11212,507,3889,2763,65,28,18464
1/4/2019,11,11210,574,3994,2532,148,27,18485
1/4/2019,12,11213,716,3727,2157,182,28,18023
1/4/2019,13,11207,872,3832,1817,198,27,17953
1/4/2019,14,11208,936,4092,1561,200,27,18024
1/4/2019,15,11214,1075,3930,1216,167,27,17629
1/4/2019,16,11204,1103,4408,795,105,27,17642
1/4/2019,17,11200,1193,4777,959,20,28,18177
1/4/2019,18,11198,1236,5618,902,0,28,18982
1/4/2019,19,11205,1230,5464,958,0,31,18888
1/4/2019,20,11206,1066,5366,870,0,27,18535
1/4/2019,21,11202,881,5765,523,0,28,18399
1/4/2019,22,11204,537,5616,269,0,27,17653
1/4/2019,23,11196,464,4905,213,0,27,16805
1/4/2019,24,11195,258,4429,331,0,19,16232
1/5/2019,1,11194,230,3807,684,0,7,15922
1/5/2019,2,11190,231,3124,851,0,0,15396
1/5/2019,3,11186,230,3177,944,0,0,15537
1/5/2019,4,11174,177,3205,762,0,10,15328
1/5/2019,5,11174,174,3238,857,0,16,15459
1/5/2019,6,11178,174,3419,780,0,18,15569
1/5/2019,7,11185,168,3668,771,0,6,15798
1/5/2019,8,11186,168,4276,662,0,4,16296
1/5/2019,9,11180,146,4945,383,15,0,16669
1/5/2019,10,11177,110,4855,286,38,0,16466
1/5/2019,11,11183,111,5205,141,72,0,16712
1/5/2019,12,11180,179,5457,107,87,0,17010
1/5/2019,13,11185,157,5033,145,104,0,16624
1/5/2019,14,11182,107,4888,392,105,0,16674
1/5/2019,15,11186,107,4884,580,86,0,16843
1/5/2019,16,11194,108,4682,1107,46,0,17137
1/5/2019,17,11198,109,4150,1478,10,0,16945
1/5/2019,18,11198,161,4500,2277,0,0,18136
1/5/2019,19,11195,165,4613,2450,0,0,18423
1/5/2019,20,11199,166,4529,2600,0,0,18494
1/5/2019,21,11190,167,3969,2729,0,0,18055
1/5/2019,22,11183,174,3573,2920,0,0,17850
1/5/2019,23,11186,196,3224,2292,0,0,16898
1/5/2019,24,11170,195,3246,1928,0,0,16539
1/6/2019,1,11171,193,3134,1849,0,0,16347
1/6/2019,2,11184,194,3062,1598,0,0,16038
1/6/2019,3,11179,194,3024,1249,0,0,15646
1/6/2019,4,11185,194,3076,1063,0,0,15518
1/6/2019,5,11176,195,3045,1285,0,0,15701
1/6/2019,6,11178,194,3056,1450,0,0,15878
1/6/2019,7,11175,197,3246,1449,0,0,16067
1/6/2019,8,11178,204,3454,1658,0,0,16494
1/6/2019,9,11177,207,3531,1752,11,0,16678
1/6/2019,10,11179,223,3667,1850,48,0,16967
1/6/2019,11,11217,291,3628,1566,173,0,16875
1/6/2019,12,11174,325,3759,1121,188,0,16567
1/6/2019,13,11173,385,3884,1571,148,0,17161
1/6/2019,14,11174,400,4039,1411,132,0,17156
1/6/2019,15,11171,428,4694,1316,147,0,17756
1/6/2019,16,11136,428,4625,1312,63,0,17564
1/6/2019,17,11153,431,5039,1186,11,0,17820
1/6/2019,18,11179,485,5550,1089,0,0,18303
1/6/2019,19,11159,484,5735,1121,0,0,18499
1/6/2019,20,11153,421,5726,1095,0,0,18395
1/6/2019,21,11145,426,5732,1022,0,0,18325
1/6/2019,22,11147,432,5353,1035,0,0,17967
1/6/2019,23,11148,234,4801,1136,0,0,17319
1/6/2019,24,11158,201,4193,1240,0,0,16792
1/7/2019,1,11157,201,3796,1523,0,2,16679
1/7/2019,2,11163,199,3181,1846,0,11,16400
1/7/2019,3,11163,201,3021,1952,0,10,16347
1/7/2019,4,11165,200,3126,1636,0,10,16137
1/7/2019,5,11164,201,3046,2152,0,11,16574
1/7/2019,6,11162,202,3162,2448,0,13,16987
1/7/2019,7,11171,202,3778,3176,0,2,18329
1/7/2019,8,11170,205,4851,3350,0,0,19576
1/7/2019,9,11166,207,4960,3389,8,0,19730
1/7/2019,10,11165,214,5143,3478,24,0,20024
1/7/2019,11,11167,250,5447,3365,34,0,20263
1/7/2019,12,11160,269,5582,3354,34,0,20399
1/7/2019,13,11154,338,5029,3478,39,0,20038
