Date,Hour,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL,Total Output
1/1/2016,1,11188,919,2994,1255,0,3,16359
1/1/2016,2,11021,918,2999,1483,0,3,16424
1/1/2016,3,10904,920,3012,1133,0,8,15977
1/1/2016,4,10425,922,3005,1347,0,7,15706
1/1/2016,5,10411,921,3030,1176,0,2,15540
1/1/2016,6,10412,920,2998,1252,0,2,15584
1/1/2016,7,10411,921,3074,1469,0,2,15877
1/1/2016,8,10415,922,3127,1762,0,2,16228
1/1/2016,9,10412,920,3362,1652,1,2,16349
1/1/2016,10,10414,919,3482,1766,12,2,16595
1/1/2016,11,10414,921,3747,2024,33,3,17142
1/1/2016,12,10409,918,3779,2324,103,2,17535
1/1/2016,13,10410,914,3804,2684,89,2,17903
1/1/2016,14,10485,911,3738,2806,71,2,18013
1/1/2016,15,10710,910,3644,2609,25,2,17900
1/1/2016,16,10715,913,3667,2569,25,2,17891
1/1/2016,17,11045,917,4183,2244,3,2,18394
1/1/2016,18,11425,924,4882,2154,0,2,19387
1/1/2016,19,11542,923,4897,2022,0,2,19386
1/1/2016,20,11543,920,4663,1862,0,2,18990
1/1/2016,21,11539,921,4361,1804,0,2,18627
1/1/2016,22,11521,921,4114,1741,0,2,18299
1/1/2016,23,11528,923,3426,1415,0,2,17294
1/1/2016,24,11523,922,3125,1412,0,2,16984
1/2/2016,1,11385,920,3166,1125,0,2,16598
1/2/2016,2,11018,922,3193,1238,0,2,16373
1/2/2016,3,11012,918,3098,1131,0,2,16161
1/2/2016,4,11012,921,3079,837,0,2,15851
1/2/2016,5,11020,921,3075,946,0,2,15964
1/2/2016,6,11018,920,3131,1020,0,2,16091
1/2/2016,7,11021,920,3215,1429,0,2,16587
1/2/2016,8,11181,920,3218,1306,0,2,16627
1/2/2016,9,11488,922,3339,1338,6,2,17095
1/2/2016,10,11560,921,3679,1566,4,2,17732
1/2/2016,11,11563,918,4057,1608,14,2,18162
1/2/2016,12,11559,917,4128,1744,19,2,18369
1/2/2016,13,11561,917,3930,1922,32,2,18364
1/2/2016,14,11520,918,3899,1552,21,2,17912
1/2/2016,15,11556,914,3895,1552,12,2,17931
1/2/2016,16,11557,934,3967,1901,5,7,18371
1/2/2016,17,11555,940,4139,2220,0,6,18860
1/2/2016,18,11557,945,4563,2735,0,6,19806
1/2/2016,19,11565,911,4573,2806,0,6,19861
1/2/2016,20,11570,908,4351,2714,0,6,19549
1/2/2016,21,11563,904,4192,2098,0,6,18763
1/2/2016,22,11555,911,3921,2071,0,6,18464
1/2/2016,23,11557,915,3432,1895,0,6,17805
1/2/2016,24,11494,915,3098,1892,0,6,17405
