Date,Hour,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL,Total Output
1/1/2018,1,11671,1583,4152,992,0,3,18401
1/1/2018,2,11672,1192,4093,1124,0,1,18082
1/1/2018,3,11672,1040,4231,1265,0,0,18208
1/1/2018,4,11669,1041,3895,1369,0,0,17974
1/1/2018,5,11674,1004,3271,1848,0,0,17797
1/1/2018,6,11682,1048,3292,2022,0,0,18044
1/1/2018,7,11682,966,3977,2378,0,1,19004
1/1/2018,8,11682,741,4311,2542,0,4,19280
1/1/2018,9,11678,650,4058,2719,2,2,19109
1/1/2018,10,11682,556,4644,2687,13,2,19584
1/1/2018,11,11679,636,4171,2805,36,3,19330
1/1/2018,12,11688,847,3819,2806,47,3,19210
1/1/2018,13,11682,1059,3790,2859,62,2,19454
1/1/2018,14,11681,1288,3592,2655,65,1,19282
1/1/2018,15,11681,1623,3703,2267,49,0,19323
1/1/2018,16,11680,2031,3802,2681,25,0,20219
1/1/2018,17,11669,2280,4779,2772,5,0,21505
1/1/2018,18,11668,2690,5670,2721,0,0,22749
1/1/2018,19,11678,2582,5170,2921,0,0,22351
1/1/2018,20,11677,2490,5073,2974,0,0,22214
1/1/2018,21,11679,2315,5162,2855,0,0,22011
1/1/2018,22,11674,1767,4946,2658,0,0,21045
1/1/2018,23,11674,1017,4158,2572,0,0,19421
1/1/2018,24,11679,937,3809,2722,0,5,19152
1/2/2018,1,11663,948,3564,2871,0,12,19058
1/2/2018,2,11663,621,3164,2538,0,16,18002
1/2/2018,3,11660,551,3161,2646,0,14,18032
1/2/2018,4,11657,607,3153,2284,0,13,17714
1/2/2018,5,11658,859,3051,2646,0,4,18218
1/2/2018,6,11663,1113,3276,2858,0,2,18912
1/2/2018,7,11671,1225,3818,3375,0,4,20093
1/2/2018,8,11674,1367,4801,3611,0,4,21457
1/2/2018,9,11671,1500,5153,3550,5,5,21884
1/2/2018,10,11671,1552,5235,3659,16,13,22146
1/2/2018,11,11648,1439,5384,3781,35,18,22305
1/2/2018,12,11606,1657,4973,3854,60,28,22178
1/2/2018,13,11603,1602,4631,3902,76,27,21841
1/2/2018,14,11604,1607,4250,3892,76,30,21459
1/2/2018,15,11600,1791,4019,3846,55,33,21344
1/2/2018,16,11643,2163,4258,3438,21,35,21558
1/2/2018,17,11663,2616,4737,3413,4,34,22467
1/2/2018,18,11668,2658,5211,3754,0,46,23337
1/2/2018,19,11658,2677,5026,3782,0,45,23188
1/2/2018,20,11656,2317,5028,3713,0,44,22758
1/2/2018,21,11641,2126,5379,3775,0,45,22966
1/2/2018,22,11630,1339,4937,3445,0,35,21386
1/2/2018,23,11653,476,4489,3204,0,33,19855
1/2/2018,24,11642,369,3966,3368,0,21,19366
1/3/2018,1,10824,364,3747,3374,0,15,18324
1/3/2018,2,10817,372,3732,3308,0,16,18245
1/3/2018,3,10816,377,3853,3004,0,17,18067
1/3/2018,4,10816,450,3840,2881,0,18,18005
1/3/2018,5,10825,886,3727,2876,0,18,18332
1/3/2018,6,10831,1273,3747,2604,0,19,18474
1/3/2018,7,10831,1557,3774,3187,0,27,19376
1/3/2018,8,10825,1768,4720,3299,0,33,20645
1/3/2018,9,10823,2007,5185,3190,3,35,21243
1/3/2018,10,10818,2203,5279,3283,11,35,21629
1/3/2018,11,10820,2194,4832,3279,39,34,21198
1/3/2018,12,10827,2188,4986,3083,62,35,21181
1/3/2018,13,10828,2216,5066,2956,54,35,21155
1/3/2018,14,10830,2264,4752,3026,35,34,20941
1/3/2018,15,10823,2571,4405,2988,33,50,20870
1/3/2018,16,10816,2998,4891,2761,16,86,21568
1/3/2018,17,10760,3419,5378,2582,3,129,22271
1/3/2018,18,10754,4186,5528,2382,0,141,22991
1/3/2018,19,10753,3941,5454,2305,0,147,22600
1/3/2018,20,10755,3430,5195,2234,0,101,21715
1/3/2018,21,10774,3402,5097,2009,0,77,21359
1/3/2018,22,10784,2818,5058,1837,0,108,20605
1/3/2018,23,10721,2472,4556,1906,0,110,19765
1/3/2018,24,10757,1547,4044,1892,0,62,18302
1/4/2018,1,10821,940,3558,1961,0,46,17326
1/4/2018,2,10840,871,3514,1800,0,10,17035
1/4/2018,3,10855,891,3603,1877,0,10,17236
1/4/2018,4,10867,1147,3694,1690,0,10,17408
1/4/2018,5,10863,1924,3599,1204,0,11,17601
1/4/2018,6,10863,2637,3888,1099,0,15,18502
1/4/2018,7,10868,2869,4008,1825,0,19,19589
1/4/2018,8,10833,2880,4222,2571,0,25,20531
1/4/2018,9,10782,2855,4715,2647,2,26,21027
1/4/2018,10,10786,2850,4640,2529,17,26,20848
1/4/2018,11,10795,2742,4445,2616,41,26,20665
1/4/2018,12,10798,2476,4350,2478,65,26,20193
1/4/2018,13,10798,2414,4303,2321,94,26,19956
1/4/2018,14,10797,2471,4670,2053,100,26,20117
1/4/2018,15,10795,2623,4769,1779,86,30,20082
1/4/2018,16,10803,2706,4840,1810,44,29,20232
1/4/2018,17,10860,2739,5007,1784,10,35,20435
1/4/2018,18,10855,2870,5018,2810,0,37,21590
1/4/2018,19,10864,2895,5103,2586,0,38,21486
1/4/2018,20,10864,2458,5159,3156,0,33,21670
1/4/2018,21,10856,2510,4904,3001,0,33,21304
1/4/2018,22,10855,2127,4885,3050,0,20,20937
1/4/2018,23,10723,1886,5155,3010,0,24,20798
1/4/2018,24,10689,1603,4999,2823,0,36,20150
1/5/2018,1,10661,665,4706,2581,0,67,18680
1/5/2018,2,10668,431,3732,2759,0,60,17650
1/5/2018,3,10669,442,3761,2613,0,57,17542
1/5/2018,4,10678,703,3873,2377,0,60,17691
1/5/2018,5,10676,1434,3963,2168,0,63,18304
1/5/2018,6,10698,1739,3855,2306,0,64,18662
1/5/2018,7,10887,1912,4549,2316,0,72,19736
1/5/2018,8,10881,2070,5213,2306,0,126,20596
1/5/2018,9,10866,2207,5321,2370,9,197,20970
1/5/2018,10,10862,2407,5236,2276,48,204,21033
1/5/2018,11,10872,2650,5281,2196,93,203,21295
1/5/2018,12,11064,2290,5386,2280,117,201,21338
1/5/2018,13,11232,1876,5242,2540,124,189,21203
1/5/2018,14,11338,1774,5009,2703,116,147,21087
1/5/2018,15,11089,1906,5018,2794,98,149,21054
1/5/2018,16,11132,2313,5132,2988,51,207,21823
1/5/2018,17,11277,2650,5447,3089,12,213,22688
1/5/2018,18,11370,3438,5445,3000,0,197,23450
1/5/2018,19,11375,3696,5485,2988,0,148,23692
1/5/2018,20,11380,2925,5484,3033,0,192,23014
1/5/2018,21,11378,3244,5311,3016,0,205,23154
1/5/2018,22,11381,2907,4721,3213,0,215,22437
1/5/2018,23,11376,2166,4111,3135,0,174,20962
1/5/2018,24,11375,1434,4279,2929,0,94,20111
1/6/2018,1,11377,1010,3948,2785,0,69,19189
1/6/2018,2,11415,866,3409,2765,0,15,18470
1/6/2018,3,11461,980,3528,2447,0,3,18419
1/6/2018,4,11531,1250,3676,2525,0,13,18995
1/6/2018,5,11546,1507,3654,2442,0,21,19170
1/6/2018,6,11556,1895,3534,2459,0,14,19458
1/6/2018,7,11559,2148,3778,2331,0,0,19816
1/6/2018,8,11561,2362,4684,2215,0,0,20822
1/6/2018,9,11556,3680,4442,2005,9,0,21692
1/6/2018,10,11558,3759,4955,1694,36,0,22002
1/6/2018,11,11549,3695,5375,1339,78,0,22036
1/6/2018,12,11550,4367,5392,1058,101,20,22488
1/6/2018,13,11562,4019,5354,1045,120,54,22154
1/6/2018,14,11558,3876,5206,1082,119,86,21927
1/6/2018,15,11526,3908,4962,1109,99,112,21716
1/6/2018,16,11564,4392,4916,994,52,149,22067
1/6/2018,17,11572,4650,5224,874,13,168,22501
1/6/2018,18,11585,4962,5719,884,0,185,23335
1/6/2018,19,11585,4072,5742,846,0,174,22419
