\\Yearly HOEP OR Predispatch Report,,,,,,,,
\\Created at 2020-01-31 08:02:14,,,,,,,,
\\For 2019,,,,,,,,
Date,Hour,HOEP,Hour 1 Predispatch,Hour 2 Predispatch,Hour 3 Predispatch,OR 10 Min Sync,OR 10 Min non-sync,OR 30 Min
1/1/2019,1,0.00,0,0,-0.02,1.24,0.2,0.1
1/1/2019,2,0.00,0,0,-0.02,1.23,0.19,0.1
1/1/2019,3,-0.11,-0.13,-0.13,-0.25,1.25,0.19,0.1
1/1/2019,4,-1.84,-2.13,-3,-2.13,1.25,0.19,0.1
1/1/2019,5,-0.47,-0.13,-3,-3,1.25,0.19,0.1
1/1/2019,6,-0.03,-0.1,-0.1,-3,1.28,0.19,0.1
1/1/2019,7,-2.93,-3,-3,-0.1,1.26,0.2,0.1
1/1/2019,8,-0.03,-0.1,-0.02,-0.13,1.41,0.2,0.1
1/1/2019,9,0.00,0,0,-0.25,1.41,0.2,0.1
1/1/2019,10,0.00,0,0,0,1.41,0.18,0.1
1/1/2019,11,2.70,2,2,0,1.43,0.18,0.14
1/1/2019,12,0.00,5,5,5,0.32,0.18,0.1
1/1/2019,13,0.00,5,5,5,0.31,0.2,0.1
1/1/2019,14,0.38,5.94,5.88,5.98,0.31,0.2,0.11
1/1/2019,15,2.32,5.94,13.3,6.56,0.31,0.2,0.14
1/1/2019,16,7.22,13.35,13.36,14.39,0.3,0.2,0.19
1/1/2019,17,8.41,21,21,32.01,1.41,1.41,1.41
1/1/2019,18,21.51,21.01,23.56,34.53,6.48,6.48,4.94
1/1/2019,19,30.18,21.01,21.01,27.01,6.81,6.81,5.95
1/1/2019,20,31.16,23,23,27.5,4.75,4.75,4.75
1/1/2019,21,26.89,21.01,21.01,27.01,1.41,1.41,1.41
1/1/2019,22,15.67,21.02,21.01,32.24,0.45,0.45,0.45
1/1/2019,23,10.99,21.02,21.01,30.85,1.41,0.2,0.2
1/1/2019,24,15.85,21.01,21.02,21.02,1.44,0.2,0.2
1/2/2019,1,33.45,21,21,21,1.23,0.2,0.2
1/2/2019,2,14.75,21,21,21,1.22,0.2,0.2
1/2/2019,3,13.36,21,21,13.35,1.23,0.2,0.2
1/2/2019,4,13.33,13.38,13.37,13.34,1.22,0.2,0.2
1/2/2019,5,10.23,21,21,21,1.22,0.2,0.2
1/2/2019,6,6.40,21.01,21.01,28.97,1.35,0.2,0.2
1/2/2019,7,10.94,32.36,32.44,35.93,0.2,0.2,0.2
1/2/2019,8,16.00,32.36,32.36,35.93,0.25,0.25,0.25
1/2/2019,9,19.32,32.34,32.36,34.72,0.45,0.45,0.45
1/2/2019,10,19.29,28.97,31.06,32.4,0.39,0.39,0.39
1/2/2019,11,25.50,24,26,27.03,0.31,0.31,0.31
1/2/2019,12,32.24,31.06,29,32.35,0.2,0.2,0.2
1/2/2019,13,32.35,32.34,32.23,32.35,0.2,0.2,0.2
1/2/2019,14,32.37,32.36,32.35,33.62,0.2,0.15,0.15
1/2/2019,15,31.07,27.11,27.01,32.5,0.18,0.17,0.17
1/2/2019,16,35.96,35.93,35.93,35.93,0.2,0.18,0.18
1/2/2019,17,36.83,35.93,35.93,40.47,0.2,0.2,0.2
1/2/2019,18,49.08,42.7,42.09,37.76,0.85,0.85,0.45
1/2/2019,19,36.02,42.09,42.09,35.93,0.45,0.45,0.42
1/2/2019,20,50.93,35.93,35.93,35.93,0.54,0.54,0.42
1/2/2019,21,88.60,35,35.93,35.93,3.46,3.46,2.98
1/2/2019,22,40.61,34.24,33.66,34.11,0.2,0.2,0.19
1/2/2019,23,9.99,27.08,28.97,23.56,1.26,0.2,0.2
1/2/2019,24,5.14,13.35,13.36,7.71,1.25,0.2,0.17
1/3/2019,1,0.00,5.88,7.71,5.83,1.17,0.2,0.1
1/3/2019,2,0.96,5.81,6,5,1.15,0.19,0.12
1/3/2019,3,0.00,5,5,5.83,1.15,0.18,0.1
1/3/2019,4,0.00,5,5,5,1.15,0.17,0.1
1/3/2019,5,0.00,5.68,5.86,5.68,1.17,0.2,0.1
1/3/2019,6,0.00,13.34,13.34,13.33,1.16,0.19,0.1
1/3/2019,7,1.48,21,21,21,1.16,0.2,0.13
1/3/2019,8,16.38,35.93,35.93,35.93,0.45,0.45,0.45
1/3/2019,9,56.14,34,35.93,33.25,6.43,6.31,6.31
1/3/2019,10,86.45,21,21,23.41,18.03,18.03,18.03
1/3/2019,11,17.37,21.6,21,21.63,0.45,0.44,0.44
1/3/2019,12,12.73,35,25.6,21,0.2,0.2,0.2
1/3/2019,13,8.40,31,25.6,21.01,0.26,0.2,0.2
1/3/2019,14,13.35,21.01,31.47,20.82,0.2,0.2,0.2
1/3/2019,15,14.00,21.01,21.01,21.83,0.29,0.29,0.29
1/3/2019,16,14.15,21,21,28.23,0.45,0.45,0.45
1/3/2019,17,18.80,30.53,30.53,31.45,3.03,3.03,3.03
1/3/2019,18,18.48,35.93,35.93,34.74,11.9,11.73,10.96
1/3/2019,19,9.49,29.07,30.76,34,20.45,18.53,18.53
1/3/2019,20,13.65,21,21.01,31.52,8.31,8.31,8.31
1/3/2019,21,14.24,20.5,21,30.97,1.27,1.27,1.27
1/3/2019,22,8.53,13.33,13.38,13.34,0.2,0.2,0.19
1/3/2019,23,0.87,5.83,5.5,5.96,1.16,0.2,0.12
1/3/2019,24,0.00,0,5.68,5,1.15,0.2,0.1
1/4/2019,1,0.00,0,5,5,1.27,0.15,0.1
1/4/2019,2,0.00,0,0,0,1.27,0.15,0.1
1/4/2019,3,0.00,0,0,0,1.27,0.15,0.1
1/4/2019,4,0.00,0,0,0,1.27,0.15,0.1
1/4/2019,5,-0.01,0,0,0,1.25,0.15,0.1
1/4/2019,6,0.00,5.72,5,5,1.27,0.18,0.1
1/4/2019,7,0.00,5.68,5.96,5.72,1.18,0.18,0.1
