Date,Hour,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL,Total Output
1/1/2017,1,11592,234,2455,2433,0,1,16715
1/1/2017,2,11591,235,2523,1994,0,1,16344
1/1/2017,3,11596,234,2464,1647,0,1,15942
1/1/2017,4,11610,236,2494,1386,0,1,15727
1/1/2017,5,11611,235,2476,1330,0,1,15653
1/1/2017,6,11611,234,2471,1125,0,1,15442
1/1/2017,7,11609,235,2516,1136,0,1,15497
1/1/2017,8,11610,236,2675,1269,0,1,15791
1/1/2017,9,11609,236,2672,1095,21,1,15634
1/1/2017,10,11609,236,2952,1108,62,1,15968
1/1/2017,11,11611,235,3070,1103,95,3,16117
1/1/2017,12,11604,235,3143,1023,116,3,16124
1/1/2017,13,11597,235,3212,924,121,1,16090
1/1/2017,14,11600,235,3243,833,156,1,16068
1/1/2017,15,11599,233,3326,929,135,1,16223
1/1/2017,16,11599,236,3557,1081,63,1,16537
1/1/2017,17,11600,234,4303,657,9,1,16804
1/1/2017,18,11610,241,5160,1142,0,1,18154
1/1/2017,19,11611,235,5272,1155,0,2,18275
1/1/2017,20,11607,234,4761,1147,0,1,17750
1/1/2017,21,11607,235,4833,1044,0,1,17720
1/1/2017,22,11600,236,4640,947,0,1,17424
1/1/2017,23,11599,236,4121,895,0,1,16852
1/1/2017,24,11596,249,3817,615,0,1,16278
1/2/2017,1,11600,237,3388,474,0,1,15700
1/2/2017,2,11612,236,3386,478,0,1,15713
1/2/2017,3,11604,236,2821,728,0,1,15390
1/2/2017,4,11612,236,2457,867,0,1,15173
1/2/2017,5,11610,236,2478,876,0,1,15201
1/2/2017,6,11608,235,2472,953,0,1,15269
1/2/2017,7,11613,238,2540,1284,0,1,15676
1/2/2017,8,11613,238,2760,1251,2,1,15865
1/2/2017,9,11610,238,2919,1570,18,1,16356
1/2/2017,10,11601,238,3114,1247,67,1,16268
1/2/2017,11,11599,237,3259,1182,117,1,16395
1/2/2017,12,11592,237,3608,1374,117,1,16929
1/2/2017,13,11580,244,4160,828,107,1,16920
1/2/2017,14,11571,243,4177,785,94,1,16871
1/2/2017,15,11572,255,4096,891,38,1,16853
1/2/2017,16,11599,269,4256,939,8,1,17072
1/2/2017,17,11586,288,4546,1140,0,1,17561
1/2/2017,18,11582,417,5008,1635,0,1,18643
1/2/2017,19,11581,427,4904,1709,0,1,18622
1/2/2017,20,11582,426,5230,1711,0,1,18950
1/2/2017,21,11572,431,5005,1554,0,1,18563
1/2/2017,22,11565,399,4815,883,0,1,17663
1/2/2017,23,11563,628,4049,786,0,2,17028
1/2/2017,24,11572,549,2991,715,0,1,15828
1/3/2017,1,11574,267,3027,841,0,11,15720
1/3/2017,2,11582,237,2789,1034,0,11,15653
1/3/2017,3,11592,237,2757,1386,0,11,15983
1/3/2017,4,11597,235,2772,848,0,11,15463
1/3/2017,5,11591,247,2905,851,0,12,15606
1/3/2017,6,11589,258,3106,1042,0,17,16012
1/3/2017,7,11588,265,3578,995,0,23,16449
1/3/2017,8,11593,437,4141,703,0,27,16901
1/3/2017,9,11587,532,4625,534,1,27,17306
1/3/2017,10,11595,817,4150,810,4,27,17403
1/3/2017,11,11600,771,4251,935,9,35,17601
1/3/2017,12,11605,701,5175,490,14,37,18022
1/3/2017,13,11606,915,5079,181,14,42,17837
